,ALL,RISK-ON,RISK-OFF,CRISIS,RATE CYCLE,TRANSITIONAL
Asia → Europe,0.2691896342752743,0.20700493290503955,0.3331886986698603,0.3615754156908717,0.2670616129579186,0.2342558660620035
Europe → US,0.5269572736112894,0.5424701523984254,0.4534831024001219,0.6268691330905615,0.5194785865300916,0.49953016976761766
US → Asia,0.13324924571642546,0.0994526034002953,0.18288858391131574,0.17035263803349635,0.19623581024345485,0.08745941940630077
VIX vs SPX,-0.7147716122171694,-0.7587767898493931,-0.8118658335208857,-0.7735321606221676,-0.6760116222294891,-0.7214682988964773
MOVE vs US 10Y,0.12213400814833623,0.26393812875896416,0.06688883943976488,-0.04888405562600145,0.11534559927239092,0.14068330039049082
Gold vs SPX,-0.017280844955277087,0.058601414263678486,-0.005680541433256276,-0.008221166062698357,-0.06427179734722259,-0.024806725285732127
Gold vs DXY,-0.32612684755630544,-0.40977173489702173,-0.37711949086787483,-0.38137135627852875,-0.2646411851633101,-0.30763712780241564
JPY vs SPX,0.19812107243319976,0.18170422901182118,0.13236361726408277,0.42707320537065946,0.059548057042407135,0.18846806630968999
US HY vs SPX,-0.4423155688627586,-0.40057997566808023,-0.587198946822286,-0.41801063313144116,-0.4206087523527397,-0.46202291375495536
Copper vs SPX,0.2258051590271609,0.28937831965058025,0.21538682850751742,0.31929826094356023,0.18173246038834848,0.19023681544487608
Oil vs SPX,0.006729500774072064,0.1673284591420634,0.08763969042178932,-0.002571194925268081,0.09760758508704813,0.09404139598826969
AUDJPY vs SPX,0.41362684707564895,0.45585352160509796,0.14532247630896641,0.6834146864034223,0.19937504053305521,0.3750366444244926
US 10Y vs SPX,0.1974664582367409,0.2368755533326304,0.18346775255666234,0.3634713407136689,0.14106018382711602,0.14984247210120408
