ticker,actual_start,actual_end,n_obs,n_years,ann_vol,sharpe_proxy
VIX Index,1990-01-03,2026-03-13,10281,40.8,1.017,0.004
VIX9D Index,2011-01-04,2026-03-13,4044,16.0,1.9411,0.018
VIX3M Index,2002-01-03,2026-03-13,6568,26.1,0.7049,0.012
VIX6M Index,2008-01-03,2026-03-13,4843,19.2,0.5404,0.011
V2X Index,1999-01-05,2026-03-13,7453,29.6,0.9748,0.006
V1X Index,1992-01-03,2026-03-13,9646,38.3,0.8423,0.016
VNKY Index,2001-01-05,2026-03-13,6851,27.2,0.9737,0.005
VHSI Index,2001-01-03,2026-03-13,6873,27.3,0.7981,-0.009
MOVE Index,1990-01-03,2026-03-13,10284,40.8,0.6137,-0.0
SKEW Index,1990-01-03,2026-03-13,10274,40.8,0.3677,0.006
CPCE Index,1997-01-09,2026-03-13,8078,32.1,2.7584,0.004
LF98OAS Index,1994-02-01,2026-03-13,7223,28.7,0.2734,-0.109
LUACOAS Index,1989-07-31,2026-03-13,7389,29.3,0.209,-0.089
LP01OAS Index,1999-05-03,2026-03-13,6999,27.8,0.273,-0.099
LECPOAS Index,1998-12-01,2026-03-13,7002,27.8,0.2568,0.039
GB3 Govt,1990-01-03,2026-03-13,10248,40.7,,0.0
USSO3Z Curncy,2001-12-21,2026-03-13,6506,25.8,0.8305,0.028
JPEIGLBL Index,1994-01-03,2026-03-13,9031,35.8,0.0922,0.702
GBTPGR10 Credit,1993-05-08,2026-03-13,9233,36.6,0.3466,-0.096
NZ50 Index,2001-01-04,2026-03-13,6880,27.3,0.1109,0.682
AS51 Index,1992-05-30,2026-03-13,9529,37.8,0.144,0.298
NKY Index,1990-01-02,2026-03-13,10235,40.6,0.2185,0.036
TPX Index,1990-01-02,2026-03-13,10235,40.6,0.1939,0.021
TWSE Index,1990-01-04,2026-03-13,10101,40.1,0.2304,0.125
KOSPI Index,1989-12-27,2026-03-13,10234,40.6,0.2341,0.157
HSI Index,1990-01-03,2026-03-13,10262,40.7,0.2295,0.214
SHSZ300 Index,2002-01-05,2026-03-13,6347,25.2,0.2352,0.179
SHCOMP Index,1990-12-20,2026-03-13,9654,38.3,0.3128,0.286
STI Index,1999-09-01,2026-03-13,7271,28.9,0.162,0.17
NIFTY Index,1990-07-04,2026-03-13,10033,39.8,0.2235,0.501
SENSEX Index,1990-01-03,2026-03-13,10179,40.4,0.225,0.518
DAX Index,1990-01-03,2026-03-13,10270,40.8,0.2053,0.303
CAC Index,1990-01-03,2026-03-13,10280,40.8,0.2,0.171
UKX Index,1990-01-03,2026-03-13,10282,40.8,0.1611,0.217
SMI Index,1990-01-04,2026-03-13,10268,40.7,0.165,0.29
SX5E Index,1990-01-03,2026-03-13,10284,40.8,0.1966,0.205
SXXP Index,1990-01-03,2026-03-13,10284,40.8,0.1652,0.252
IBOV Index,1990-01-03,2026-03-13,10270,40.8,0.5444,0.743
SPTSX Index,1990-01-03,2026-03-13,10284,40.8,0.1486,0.346
SPX Index,1990-01-03,2026-03-13,10281,40.8,0.1697,0.428
INDU Index,1990-01-03,2026-03-13,10281,40.8,0.1625,0.435
CCMP Index,1990-01-03,2026-03-13,10281,40.8,0.2172,0.445
NDX Index,1990-01-03,2026-03-13,10281,40.8,0.248,0.47
RTY Index,1990-01-03,2026-03-13,10284,40.8,0.2051,0.32
SOX Index,1994-05-05,2026-03-13,8923,35.4,0.3559,0.338
XLF US Equity,1998-12-23,2026-03-13,7467,29.6,0.2719,0.123
XLE US Equity,1998-12-23,2026-03-13,7467,29.6,0.2759,0.198
XLK US Equity,1998-12-23,2026-03-13,7467,29.6,0.2476,0.301
XLU US Equity,1998-12-23,2026-03-13,7467,29.6,0.185,0.211
XLV US Equity,1998-12-23,2026-03-13,7467,29.6,0.1705,0.371
XLI US Equity,1998-12-23,2026-03-13,7467,29.6,0.2017,0.343
XLB US Equity,1998-12-23,2026-03-13,7467,29.6,0.2262,0.243
XLY US Equity,1998-12-23,2026-03-13,7467,29.6,0.2169,0.352
XLP US Equity,1998-12-23,2026-03-13,7467,29.6,0.1464,0.268
GDBR10 Equity,1990-01-03,2026-03-13,10256,40.7,1.507,0.073
USGG2YR Index,1990-01-03,2026-03-13,10284,40.8,0.5369,-0.034
USGG5YR Index,1990-01-03,2026-03-13,10284,40.8,0.4322,-0.04
USGG10YR Index,1990-01-03,2026-03-13,10284,40.8,0.3197,-0.048
USGG30YR Index,1990-01-03,2026-03-13,10284,40.8,0.2295,-0.053
GDBR2 Index,1990-09-19,2026-03-13,10020,39.8,,0.0
GDBR5 Index,1990-08-08,2026-03-13,10013,39.7,,0.0
GDBR10 Index,1990-01-03,2026-03-13,10256,40.7,1.507,0.073
GDBR30 Index,1994-01-04,2026-03-13,8998,35.7,2.7604,-0.143
GUKG2 Index,1992-01-03,2026-03-13,9644,38.3,,0.0
GUKG5 Index,1992-01-02,2026-03-13,9637,38.2,1.56,0.037
GUKG10 Index,1992-01-02,2026-03-13,9657,38.3,0.5069,-0.037
GUKG30 Index,1996-02-29,2026-03-13,8354,33.2,0.3028,-0.04
GJGB2 Index,1990-09-04,2026-03-13,10023,39.8,,0.0
GJGB5 Index,1990-01-02,2026-03-13,10255,40.7,,0.0
GJGB10 Index,1990-01-02,2026-03-13,10232,40.6,,0.0
GJGB30 Index,1999-09-03,2026-03-13,7264,28.8,0.4862,0.014
GBTPGR10 Index,1993-05-08,2026-03-13,9233,36.6,0.3466,-0.096
GFRN10 Index,1990-01-03,2026-03-13,10239,40.6,,0.0
GSWISS10 Index,1994-02-17,2026-03-13,8934,35.5,,0.0
GACGB10 Index,1990-01-03,2026-03-13,10284,40.8,0.2763,-0.084
GCAN10YR Index,1990-01-03,2026-03-13,10284,40.8,0.3015,-0.082
GIND10YR Index,1998-11-26,2026-03-13,7468,29.6,0.1146,-0.162
GCNY10YR Index,2005-06-07,2026-03-13,5183,20.6,0.1279,-0.175
USGGBE10 Index,1998-08-04,2026-03-13,7575,30.1,0.4951,0.08
USGGBE05 Index,2002-01-12,2026-03-13,6561,26.0,1.6463,0.088
GC1 Comdty,1990-01-03,2026-03-13,10282,40.8,0.1544,0.403
SI1 Comdty,1990-01-03,2026-03-13,10282,40.8,0.2882,0.232
HG1 Comdty,1990-01-03,2026-03-13,10282,40.8,0.2478,0.17
CL1 Comdty,1990-01-03,2026-03-13,10280,40.8,0.3813,0.134
CO1 Comdty,1990-01-03,2026-03-13,10282,40.8,0.3469,0.115
NG1 Comdty,1990-04-04,2026-03-13,10204,40.5,0.5608,0.025
W1 Index,1990-01-03,2026-03-13,10284,40.8,0.2907,0.035
C1 Index,1989-11-02,2026-03-13,10325,41.0,0.2533,0.062
S1 Index,1990-01-03,2026-03-13,10284,40.8,0.2206,0.085
BCOM Index,1990-01-03,2026-03-13,10281,40.8,0.1405,0.06
BDIY Index,1990-01-03,2026-03-13,10165,40.3,0.3219,0.061
DXY Curncy,1990-01-03,2026-03-13,10282,40.8,0.0747,0.026
EURUSD Curncy,1990-01-03,2026-03-13,10282,40.8,0.0894,-0.021
USDJPY Curncy,1990-01-03,2026-03-13,10284,40.8,0.0989,0.022
GBPUSD Curncy,1990-01-03,2026-03-13,10284,40.8,0.0887,-0.054
USDCHF Curncy,1990-01-03,2026-03-13,10284,40.8,0.1038,-0.163
AUDUSD Curncy,1990-01-03,2026-03-13,10284,40.8,0.1081,-0.027
USDCAD Curncy,1990-01-03,2026-03-13,10284,40.8,0.0718,0.057
NZDUSD Curncy,1990-01-03,2026-03-13,10284,40.8,0.1075,-0.007
USDCNY Curncy,1990-01-03,2026-03-13,10174,40.4,0.0276,-0.039
USDINR Curncy,1990-01-03,2026-03-13,10282,40.8,0.0612,0.68
USDBRL Curncy,1992-01-16,2026-03-13,9645,38.3,0.178,1.394
USDTRY Curncy,1990-01-03,2026-03-13,10284,40.8,0.1768,1.367
USDZAR Curncy,1990-01-03,2026-03-13,10284,40.8,0.142,0.326
USDMXN Curncy,1990-01-03,2026-03-13,10284,40.8,0.1246,0.374
AUDJPY Curncy,1990-01-03,2026-03-13,10284,40.8,0.1414,-0.005
CESIUSD Index,2003-01-02,2026-03-13,6117,24.3,,0.0
CESIEUR Index,2003-01-02,2026-03-13,6136,24.3,5.7104,-0.167
CESICNY Index,2004-01-02,2026-03-13,5846,23.2,,0.0
CESIEM Index,2003-01-02,2026-03-13,6096,24.2,,0.0
CESIG10 Index,2003-01-02,2026-03-13,6122,24.3,,0.0
NAPMPMI Index,1990-02-01,2026-03-04,1299,5.2,0.0,0.0
NAPMNMI Index,1997-08-01,2026-03-04,1029,4.1,0.0,0.0
CPMINDX Index,2005-02-01,2026-03-04,759,3.0,0.0,0.0
CONSSENT Index,1990-02-01,2026-03-04,1299,5.2,0.0,0.0
CONCCONF Index,1990-02-01,2026-03-04,1299,5.2,0.0,0.0
LEI TOTL Index,1990-02-01,2026-01-05,1296,5.1,0.0,0.0
